gpu,backend,M,N,K,shape,flops,dtype,trials,warmup,iters,p50_ms,p90_ms,std_ms,tflops_p50,speedup_vs_torch_p50
NVIDIA A100-SXM4-80GB,triton,128,11008,4096,128x11008x4096,11542724608.0,float16,10,30,1000,0.07836774444580077,0.07990005569458007,0.0042043752650919265,147.28922836337293,1.3781278424255419
NVIDIA A100-SXM4-80GB,torch,128,11008,4096,128x11008x4096,11542724608.0,bfloat16,10,30,1000,0.0695464973449707,0.0719795166015625,0.0013365738945593313,165.97132923524174,
NVIDIA A100-SXM4-80GB,triton,128,11008,4096,128x11008x4096,11542724608.0,bfloat16,10,30,1000,0.07849113845825195,0.08001925201416014,0.003954627325389216,147.05767854468527,0.8860426630448386
NVIDIA A100-SXM4-80GB,torch,256,5120,5120,256x5120x5120,13421772800.0,float16,10,30,1000,0.07187865447998047,0.07930490798950196,0.004187211476048762,186.72821433709797,
NVIDIA A100-SXM4-80GB,triton,256,5120,5120,256x5120x5120,13421772800.0,float16,10,30,1000,0.09521920013427734,0.09722367858886719,0.004928111668323818,140.956579986733,0.7548756383021258
NVIDIA A100-SXM4-80GB,torch,256,5120,5120,256x5120x5120,13421772800.0,bfloat16,10,30,1000,0.07047065734863281,0.08098498611450194,0.004953735269656943,190.45902656476912,
NVIDIA A100-SXM4-80GB,triton,256,5120,5120,256x5120x5120,13421772800.0,bfloat16,10,30,1000,0.093285888671875,0.09581230163574218,0.005469508691300874,143.87784681142847,0.7554267676701588
NVIDIA A100-SXM4-80GB,torch,128,8192,8192,128x8192x8192,17179869184.0,float16,10,30,1000,0.10694348907470702,0.10740520629882812,0.001261380529273355,160.64436771834457,
NVIDIA A100-SXM4-80GB,triton,128,8192,8192,128x8192x8192,17179869184.0,float16,10,30,1000,0.1437470703125,0.14409554290771484,0.0005471670158748283,119.51456921279646,0.7439698690360537
NVIDIA A100-SXM4-80GB,torch,128,8192,8192,128x8192x8192,17179869184.0,bfloat16,10,30,1000,0.10667980575561523,0.10725662384033202,0.0014941831963009508,161.04143668349076,
NVIDIA A100-SXM4-80GB,triton,128,8192,8192,128x8192x8192,17179869184.0,bfloat16,10,30,1000,0.1418987503051758,0.14219397277832033,0.00038003697220180007,121.07132125583885,0.7518022923118306
NVIDIA A100-SXM4-80GB,torch,512,4096,4096,512x4096x4096,17179869184.0,float16,10,30,1000,0.09063986968994141,0.09487810897827148,0.0031488899916122886,189.53987072982855,
NVIDIA A100-SXM4-80GB,triton,512,4096,4096,512x4096x4096,17179869184.0,float16,10,30,1000,0.12474367904663086,0.12982057495117186,0.004584447688981696,137.72136043524847,0.7266089182447394
NVIDIA A100-SXM4-80GB,torch,512,4096,4096,512x4096x4096,17179869184.0,bfloat16,10,30,1000,0.09503897476196288,0.09725706405639649,0.004108815512775879,180.76656684301523,
NVIDIA A100-SXM4-80GB,triton,512,4096,4096,512x4096x4096,17179869184.0,bfloat16,10,30,1000,0.12204287719726563,0.12238888854980468,0.0005923201752290271,140.76912621644516,0.7787343017843259
